date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-01 06:15:03,NPP_GH,,2,15,51,"The alternative would have been millions of depositors losing their savings and over 10,000 individuals losing their jobs. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300678537452584960,https://twitter.com/NPP_GH/status/1300678537452584960
2020-09-01 06:10:03,NPP_GH,,6,18,88,"Employees, whose salaries and benefits had remained unpaid by the defunct institutions, have now been paid or are being paid by the Receivers. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300677277416648704,https://twitter.com/NPP_GH/status/1300677277416648704
2020-09-01 06:05:03,NPP_GH,,1,14,44,"""We have cleaned the financial sector mess we inherited, and have, with the active co-operation of the Bank of Ghana, strengthened the banking and financial sector."" ~ President Akufo-Addo #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300676020018843649,https://twitter.com/NPP_GH/status/1300676020018843649
2020-09-01 06:05:03,NPP_GH,,1,11,49,"All depositors of the banks, savings and loans, and microfinance institutions, by the end of September this year, would have received a full, 100% refund of their deposits. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300676019670654981,https://twitter.com/NPP_GH/status/1300676019670654981
2020-09-01 06:00:11,NPP_GH,,1,6,38,"#97DaysToVote #4MoreToDoMoreForYoupic.twitter.com/ajZsLAsGgl",,,#97DaysToVote #4MoreToDoMoreForYoupic,1300674797177909249,https://twitter.com/NPP_GH/status/1300674797177909249
2020-09-01 06:00:11,NPP_GH,,2,8,40,"#97DaysToVote #4MoreToDoMoreForYoupic.twitter.com/9DMp1m09U5",,,#97DaysToVote #4MoreToDoMoreForYoupic,1300674795886051334,https://twitter.com/NPP_GH/status/1300674795886051334
2020-09-01 06:00:09,NPP_GH,,3,19,63,"The financial support, provided by the Akufo-Addo Government, ensured no depositor would lose a pesewa of their savings. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300674787992363013,https://twitter.com/NPP_GH/status/1300674787992363013
2020-09-01 05:55:02,NPP_GH,,2,8,37,"The clean-up exercise & the Govt’s decision to step into provide financial support, ensured an orderly exit of the failed institutions so that over 4.6 M depositors have access to their deposits & 81,700 investors to their investments & over 10K jobs saved #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300673500483661824,https://twitter.com/NPP_GH/status/1300673500483661824
2020-09-01 05:50:02,NPP_GH,,1,9,59,"The Securities and Exchange Commission also revoked the licences of 53 fund managers for the same reasons. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300672241626218499,https://twitter.com/NPP_GH/status/1300672241626218499
2020-09-01 05:45:02,NPP_GH,,1,14,76,"The central bank did this to protect the entire financial system, and preserve the hard-earned savings of hardworking men and women across the country. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300670983452405761,https://twitter.com/NPP_GH/status/1300670983452405761
2020-09-01 05:40:02,NPP_GH,,2,14,66,"In order to clean up and strengthen the sector and prevent its collapse, the new management of Bank of Ghana, which we installed, revoked the licenses of 9 banks, 23 savings and loans and 386 microfinance companies. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300669724238450695,https://twitter.com/NPP_GH/status/1300669724238450695
2020-09-01 05:35:02,NPP_GH,,2,20,101,"Bank of Ghana was, for example, aware of the impending failures in 2015, in the case of banks, and as far back as 2012, in the case of savings and loans and micro finance companies. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300668465339150344,https://twitter.com/NPP_GH/status/1300668465339150344
2020-09-01 05:30:05,NPP_GH,,0,10,45,"The Mahama-led NDC Government and the management it put in place at the Bank of Ghana, as well as at the Securities and Exchange Commission, had enough time to address these failures, but failed to take action. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300667223384690693,https://twitter.com/NPP_GH/status/1300667223384690693
2020-09-01 05:25:02,NPP_GH,,1,8,40,"Many innocent people – depositors, investors and employees – suffered the consequences of these grievous lapses. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300665949461401600,https://twitter.com/NPP_GH/status/1300665949461401600
2020-09-01 05:20:02,NPP_GH,,3,10,40,"These failures were a direct result of a system of poor licensing and regulation, non-existent capital, weak corporate governance characterised by related-party transactions, and political influence-peddling among others. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300664690557816835,https://twitter.com/NPP_GH/status/1300664690557816835
2020-09-01 05:15:02,NPP_GH,,2,12,62,"There were countless instances where customers made long journeys to withdraw as little as GH¢200 only to be asked to come another day. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300663433986220032,https://twitter.com/NPP_GH/status/1300663433986220032
2020-09-01 05:10:02,NPP_GH,,5,15,58,"Many financial institutions had either collapsed or were on the verge of collapse. Many were not paying their depositors or employees at all or regularly. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300662174998818816,https://twitter.com/NPP_GH/status/1300662174998818816
2020-09-01 05:05:02,NPP_GH,,21,66,449,"The NPP inherited a weak and fragile financial services sector from the Mahama-led NDC Government. #FinancialSectorCleanUp",,,#FinancialSectorCleanUp,1300660916019658754,https://twitter.com/NPP_GH/status/1300660916019658754
2020-09-01 05:00:06,NPP_GH,,15,50,214,"Today, we are going to tell you all about the #FinancialSectorCleanUp. It is important that every Ghanaian knows what has gone on in the financial services sector especially because John Mahama caused a mess and risked the entire financial stability of #Ghana.",,,#FinancialSectorCleanUp #Ghana,1300659677936705543,https://twitter.com/NPP_GH/status/1300659677936705543
2020-08-31 07:37:39,NPP_GH,,20,52,334,"#98DaysToVote #4MoreToDoMoreForYoupic.twitter.com/8PqtOy9X9q",,,#98DaysToVote #4MoreToDoMoreForYoupic,1300336936838721536,https://twitter.com/NPP_GH/status/1300336936838721536
2020-08-30 17:35:00,NPP_GH,,8,32,290,"#99DaysToVote #4MoreToDoMoreForYoupic.twitter.com/Oeg9ItDECD",,,#99DaysToVote #4MoreToDoMoreForYoupic,1300124875353403396,https://twitter.com/NPP_GH/status/1300124875353403396
2020-08-29 11:59:23,NPP_GH,,9,27,256,"#100DaysToVote #4MoreToDoMoreForYoupic.twitter.com/DnsexecGX9",,,#100DaysToVote #4MoreToDoMoreForYoupic,1299678029967495171,https://twitter.com/NPP_GH/status/1299678029967495171
2020-08-27 19:20:57,NPP_GH,,1,26,179,"#LeadershipOfServicepic.twitter.com/y3UlTnOKtg",,,#LeadershipOfServicepic,1299064375928664064,https://twitter.com/NPP_GH/status/1299064375928664064
2020-08-27 17:33:49,NPP_GH,,4,37,211,"#LeadershipOfServicepic.twitter.com/OoIdGCSMXm",,,#LeadershipOfServicepic,1299037413889765377,https://twitter.com/NPP_GH/status/1299037413889765377
2020-08-27 15:07:17,NPP_GH,,0,48,159,"#LeadershipOfServicepic.twitter.com/ySLYQcDXxV",,,#LeadershipOfServicepic,1299000539330600960,https://twitter.com/NPP_GH/status/1299000539330600960
