date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-08-17 07:21:05,OfficialNDCGh,,15,74,441,"Presidential candidate, John Dramani Mahama @JDMahama, is beginning a seven-day tour of Volta and Oti Regions. #JMandJane2020pic.twitter.com/ynJNV33ekR",,@JDMahama,#JMandJane2020pic,1295259338261528576,https://twitter.com/OfficialNDCGh/status/1295259338261528576
2020-08-16 10:57:35,OfficialNDCGh,,11,62,378,"John Mahama @JDMahama is a truly transformational leader. Under his Presidency, Ghana witnessed fundamental changes and became an inspiration for Africa. We invite you to visit his campaign website http://www.johnmahama.org and sign-up to receive updates on #JohnMahama2020 campaign",,@JDMahama,#JohnMahama2020,1294951432278421513,https://twitter.com/OfficialNDCGh/status/1294951432278421513
2020-08-15 12:04:40,OfficialNDCGh,,49,80,943,"Get involved #JMandJane2020pic.twitter.com/VwJQyHj1lU",,,#JMandJane2020pic,1294605929212674048,https://twitter.com/OfficialNDCGh/status/1294605929212674048
2020-08-14 14:36:40,OfficialNDCGh,,99,142,1164,"John Dramani Mahama @JDMahama is a nation builderpic.twitter.com/NRUMzbjL0K",,@JDMahama,,1294281791772266496,https://twitter.com/OfficialNDCGh/status/1294281791772266496
2020-08-14 06:46:58,OfficialNDCGh,jagyenim,2,33,186,"Good news for assembly membershttps://twitter.com/jagyenim/status/1294163272829198337 …",,,,1294163590178582528,https://twitter.com/OfficialNDCGh/status/1294163590178582528
2020-08-13 18:21:28,OfficialNDCGh,,12,45,290,"Leadership #JMandJane2020pic.twitter.com/ewlxDpDzaI",,,#JMandJane2020pic,1293975978021199874,https://twitter.com/OfficialNDCGh/status/1293975978021199874
2020-08-13 08:47:34,OfficialNDCGh,,11,65,513,"Mr John Dramani Mahama @JDMahama flagbearer and leader of @OfficialNDCGh on Wednesday introduced his Running Mate Prof. Naana Jane Opoku-Agyemang @NJOAgyemang to the National Chief Imampic.twitter.com/D4LcWaGH49",,@JDMahama @OfficialNDCGh @NJOAgyemang,,1293831549251657728,https://twitter.com/OfficialNDCGh/status/1293831549251657728
2020-08-12 14:34:15,OfficialNDCGh,,9,27,223,"#JMandJane2020pic.twitter.com/BcBd5ppWWs",,,#JMandJane2020pic,1293556408793866241,https://twitter.com/OfficialNDCGh/status/1293556408793866241
2020-08-12 07:00:11,OfficialNDCGh,,7,55,441,"#JMandJane2020pic.twitter.com/x8w4H6qneZ",,,#JMandJane2020pic,1293442139062337537,https://twitter.com/OfficialNDCGh/status/1293442139062337537
2020-08-11 11:17:54,OfficialNDCGh,,2,31,123,"Akufo and his NPP should carry their crosshttps://radiogoldlive.com/dont-blame-mahama-for-akufo-addo-and-npps-sins/?fb_ref=NKrYCQyKVG-Whatsapp&utm_source=WhatsApp&utm_medium=ShareButton&utm_campaign=GetSocial …",,,,1293144607145041920,https://twitter.com/OfficialNDCGh/status/1293144607145041920
2020-08-07 15:59:55,OfficialNDCGh,,37,69,586,"pic.twitter.com/LY9T1VL7CM",,,,1291766028700188672,https://twitter.com/OfficialNDCGh/status/1291766028700188672
2020-08-06 20:13:28,OfficialNDCGh,,74,92,818,"pic.twitter.com/jtO6VVmjBr",,,,1291467449070686230,https://twitter.com/OfficialNDCGh/status/1291467449070686230
2020-08-05 11:21:05,OfficialNDCGh,,2,12,64,"#JMandJane2020pic.twitter.com/mCFkB6eRiV",,,#JMandJane2020pic,1290971081914941440,https://twitter.com/OfficialNDCGh/status/1290971081914941440
